City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
553,Dicabisagan,PH,88.36,clear sky,17.0818,122.4157,Nancy Montanes Bernardo
554,Auki,SB,85.39,overcast clouds,-8.7676,160.7034,Auki Motel
557,Turan,VN,87.78,broken clouds,16.0678,108.2208,Grand Mercure Danang
558,Sibolga,ID,85.33,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
559,Clarksdale,US,77.92,few clouds,34.2001,-90.5709,Americas Best Value Inn & Suites Clarksdale
561,Poum,NC,78.64,broken clouds,-20.2333,164.0167,
564,Cockburn Town,TC,79.23,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
569,Tual,ID,84.42,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
573,San-Pedro,CI,78.8,overcast clouds,4.7485,-6.6363,Hotel Maria
577,Accra,GH,82.81,scattered clouds,5.556,-0.1969,Accra City Hotel
579,Samarai,PG,85.84,overcast clouds,-10.6167,150.6667,Nuli Sapi
581,Nikki,BJ,76.75,broken clouds,9.9401,3.2108,Monnon
582,Manokwari,ID,83.73,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
593,Labuhan,ID,84.49,light rain,-6.8844,112.2051,DoubleFAG
594,Bingerville,CI,81.54,light rain,5.3584,-3.8869,Residence Hotel le Jourdain
595,Sambalpur,IN,81.52,overcast clouds,21.45,83.9667,Hotel Saket
596,Ayorou,NE,86.58,overcast clouds,14.7308,0.9174,Hotel Amenokal
603,Kloulklubed,PW,79.3,heavy intensity rain,7.0419,134.2556,Storyboard Beach Resort
613,Linguere,SN,76.12,clear sky,15.3953,-15.1193,AYO Casablanca
616,Buraydah,SA,75.65,clear sky,26.326,43.975,Mövenpick Qassim
618,Moroni,KM,77.61,clear sky,-11.7022,43.2551,Hotel les Arcades
622,Mogadishu,SO,81.27,few clouds,2.0371,45.3438,Hotel Juba
628,Pilar,BR,75.13,very heavy rain,-9.5972,-35.9567,Pousada e churrascaria Manguaba
632,Bonthe,SL,79.93,light rain,7.5264,-12.505,Bonthe Holiday Village
634,Tecoanapa,MX,81.07,broken clouds,16.5167,-98.75,Hotel Manglares
