City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
174,Lopatino,RU,52.6195,45.8118,35.89,97,100,13.2,light rain
175,Katangli,RU,51.7102,143.2326,35.11,97,69,14.29,broken clouds
176,Talnakh,RU,69.4865,88.3972,24.21,81,45,6.17,scattered clouds
177,High Level,CA,58.5169,-117.136,37.51,70,20,2.3,few clouds
178,Foumban,CM,5.7291,10.9001,63.88,96,100,2.82,light rain
179,Faya,SA,18.3851,42.4509,69.91,56,67,3.02,broken clouds
180,Oktyabrskiy,RU,54.4815,53.471,48.33,97,100,5.14,light rain
181,Corrales,US,35.2378,-106.6067,81.88,9,0,25.99,clear sky
182,Naze,JP,28.3667,129.4833,74.32,68,100,2.39,overcast clouds
183,Daru,PG,-9.0763,143.2092,87.89,68,68,4.21,broken clouds
184,Kendari,ID,-3.945,122.4989,81.91,83,96,1.19,overcast clouds
185,Homer,US,59.6425,-151.5483,51.69,27,0,11.5,clear sky
186,Umea,SE,63.8284,20.2597,42.73,100,100,8.05,overcast clouds
187,Torbay,CA,47.6666,-52.7314,44.28,54,0,18.41,clear sky
188,Curaca,BR,-8.9903,-39.9094,77.16,63,100,10.07,overcast clouds
189,Hegra,NO,63.4644,11.114,44.51,87,75,12.66,drizzle
190,Potsdam,DE,52.3989,13.0657,65.1,82,99,3.0,overcast clouds
191,San Andres,CO,12.5847,-81.7006,82.42,83,40,5.75,scattered clouds
192,Hobbs,US,32.7026,-103.136,79.39,73,0,10.36,clear sky
193,Oyama,JP,36.3,139.8,69.58,34,100,2.53,overcast clouds
194,Hobyo,SO,5.3505,48.5268,82.08,73,98,15.21,overcast clouds
195,Half Moon Bay,US,37.4636,-122.4286,56.57,66,0,27.63,clear sky
196,Tiarei,PF,-17.5333,-149.3333,84.22,77,37,16.62,scattered clouds
197,Nishihara,JP,26.1842,127.7558,81.68,86,100,14.97,overcast clouds
198,Thompson,CA,55.7435,-97.8558,53.76,62,100,4.61,overcast clouds
199,Bambous Virieux,MU,-20.3428,57.7575,75.22,94,20,4.61,few clouds
200,Terre Haute,US,39.4667,-87.4139,77.32,82,0,3.44,clear sky
201,Santa,PH,17.486,120.4348,91.02,71,17,8.57,few clouds
202,Albanel,CA,48.8832,-72.4487,60.78,27,100,3.44,overcast clouds
203,Sur,OM,22.5667,59.5289,83.64,48,0,3.83,clear sky
204,Ierapetra,GR,35.01,25.7353,62.15,66,2,4.0,clear sky
205,Karlshamn,SE,56.1706,14.8619,52.29,94,100,9.55,overcast clouds
206,Norman Wells,CA,65.282,-126.8329,48.24,34,100,6.91,overcast clouds
207,Ilulissat,GL,69.2167,-51.1,17.62,62,12,8.05,few clouds
208,Fort Nelson,CA,58.8053,-122.7002,49.59,43,75,8.05,broken clouds
209,Cabedelo,BR,-6.9811,-34.8339,75.87,84,63,10.13,broken clouds
210,Vila Franca Do Campo,PT,37.7167,-25.4333,65.19,92,97,4.21,overcast clouds
211,Kedrovyy,RU,56.1667,91.8167,43.21,31,0,5.7,clear sky
212,Tasiilaq,GL,65.6145,-37.6368,24.96,90,100,12.57,overcast clouds
213,Mandiana,GN,10.6333,-8.6833,80.82,45,11,5.08,few clouds
214,Saint-Augustin,CA,51.226,-58.6502,46.62,61,21,13.42,few clouds
215,La Ferte-Bernard,FR,48.1863,0.6536,53.22,92,8,5.59,clear sky
216,Burdur,TR,37.7203,30.2908,45.3,81,20,5.75,few clouds
217,The Valley,AI,18.217,-63.0578,82.26,81,86,18.68,overcast clouds
218,Pombas,CV,17.1503,-25.0201,69.58,82,28,10.96,scattered clouds
219,Kishi,NG,9.0833,3.85,76.03,89,90,6.78,overcast clouds
220,Saskylakh,RU,71.9167,114.0833,24.66,92,100,3.69,light snow
221,Raymond,US,43.9015,-70.4703,49.48,61,0,3.04,clear sky
222,Kalabo,ZM,-14.97,22.6814,58.53,54,0,5.7,clear sky
223,La Palma,US,33.8464,-118.0467,66.81,46,40,14.97,scattered clouds
224,Bengkulu,ID,-3.8004,102.2655,79.07,80,100,1.99,overcast clouds
225,Okato,NZ,-39.2,173.8833,57.9,61,5,8.97,clear sky
226,Port Augusta,AU,-32.5,137.7667,66.88,57,46,6.91,scattered clouds
227,Bathsheba,BB,13.2167,-59.5167,79.41,78,20,16.11,few clouds
228,Olafsvik,IS,64.8945,-23.7142,35.11,96,100,24.4,snow
229,Nanortalik,GL,60.1432,-45.2371,35.28,88,93,6.44,overcast clouds
230,Chicama,PE,-7.8447,-79.1469,61.34,79,8,5.61,clear sky
231,Sanok,PL,49.5557,22.2056,49.08,100,100,4.38,overcast clouds
232,Adelanto,US,34.5828,-117.4092,58.08,30,95,14.29,overcast clouds
233,Tuim,RU,54.3417,89.9261,41.99,36,0,6.82,clear sky
234,Osypenko,UA,46.9136,36.8253,46.0,60,86,8.86,overcast clouds
235,Westport,US,41.1415,-73.3579,59.02,31,0,13.8,clear sky
236,Vestmannaeyjar,IS,63.4427,-20.2734,41.97,76,100,12.15,light rain
237,Waipawa,NZ,-41.4122,175.5153,50.9,59,93,6.38,overcast clouds
238,Hongjiang,CN,27.11,109.9956,66.9,86,100,3.6,overcast clouds
239,Prainha,BR,-1.8,-53.48,73.49,97,100,2.95,overcast clouds
240,Provideniya,RU,64.3833,-173.3,33.91,86,100,11.18,overcast clouds
241,Batagay-Alyta,RU,67.8006,130.4114,23.49,65,99,4.7,overcast clouds
242,Kavaratti,IN,10.5669,72.642,85.26,67,100,16.51,overcast clouds
243,El Dorado,US,38.7666,-120.5177,44.64,90,96,1.99,overcast clouds
244,Qujing,CN,25.4833,103.7833,69.33,68,70,11.97,broken clouds
245,Anori,BR,-3.7728,-61.6442,74.98,91,34,2.08,scattered clouds
246,Domoni,KM,-12.2569,44.5319,79.03,73,57,15.17,broken clouds
247,Mujiayingzi,CN,42.1167,118.7833,54.7,20,31,13.76,scattered clouds
248,Adrar,MR,20.5022,-10.0711,83.46,11,11,6.98,few clouds
249,Alofi,NU,-19.0595,-169.9187,76.89,88,75,8.05,light intensity drizzle
250,Port Lincoln,AU,-34.7333,135.8667,62.76,59,0,9.06,clear sky
251,Hammerfest,NO,70.6634,23.6821,36.05,93,75,9.22,broken clouds
252,Singapore,SG,1.2897,103.8501,80.55,83,75,9.22,moderate rain
253,Makakilo City,US,21.3469,-158.0858,82.72,55,75,23.02,broken clouds
254,Dalmatovo,RU,56.26,62.9362,50.49,88,100,15.32,light rain
255,Maceio,BR,-9.6658,-35.7353,76.44,88,40,4.61,scattered clouds
256,Bandarbeyla,SO,9.4942,50.8122,81.05,82,19,2.93,few clouds
257,Paranaiba,BR,-19.6772,-51.1908,71.87,51,86,0.98,overcast clouds
258,College,US,64.8569,-147.8028,44.2,76,75,14.97,light rain
259,Sterling,US,39.0062,-77.4286,60.8,59,20,4.61,few clouds
260,Dibulla,CO,11.2725,-73.3091,77.81,87,100,4.25,overcast clouds
261,Grand Gaube,MU,-20.0064,57.6608,75.38,80,38,12.17,scattered clouds
262,Luderitz,NA,-26.6481,15.1594,56.14,68,35,11.16,scattered clouds
263,Teya,RU,60.3778,92.6267,44.98,66,6,4.25,clear sky
264,Adolfo Lopez Mateos,MX,28.4667,-107.3,71.92,21,5,14.63,clear sky
265,Nadym,RU,65.5333,72.5167,34.12,85,50,4.07,scattered clouds
266,Pisco,PE,-13.7,-76.2167,62.65,77,0,2.3,clear sky
267,Myanaung,MM,18.2833,95.3167,85.6,59,88,8.39,overcast clouds
268,Isla Vista,US,34.4133,-119.861,64.29,43,0,13.8,clear sky
269,Lompoc,US,34.6391,-120.4579,57.78,62,0,24.16,clear sky
270,Oktyabrskoye,RU,43.0645,44.7417,44.35,87,100,4.47,light rain
271,Raga,SS,8.4596,25.678,76.37,67,100,4.29,overcast clouds
272,Uglegorsk,RU,49.0833,142.0333,54.19,61,16,8.88,few clouds
273,Urusha,RU,54.05,122.9,36.52,42,100,10.18,overcast clouds
274,Gorontalo,ID,0.5412,123.0595,79.9,87,100,3.69,light rain
275,Alyangula,AU,-13.8483,136.4192,84.07,74,100,9.22,overcast clouds
276,Cherskiy,RU,68.75,161.3,27.27,81,100,6.6,overcast clouds
277,Sept-Iles,CA,50.2001,-66.3821,40.05,78,0,8.05,clear sky
278,El Tigre,VE,8.8875,-64.2454,80.92,56,9,11.21,clear sky
279,Bubaque,GW,11.2833,-15.8333,77.58,73,100,18.25,overcast clouds
280,Elliot Lake,CA,46.3834,-82.6331,56.71,56,100,7.92,overcast clouds
281,Broken Hill,AU,-31.95,141.4333,58.71,94,100,10.36,overcast clouds
282,Matay,EG,28.419,30.7792,68.68,44,16,12.03,few clouds
283,Ouesso,CG,1.6136,16.0517,70.86,99,100,2.86,moderate rain
284,Puerto Rico,AR,-26.796,-55.024,57.6,99,23,2.33,few clouds
285,Saint-Ambroise,CA,48.5501,-71.3324,59.58,65,100,5.44,overcast clouds
286,Ningyang,CN,35.7642,116.7914,67.82,53,100,7.4,light rain
287,Anzio,IT,41.4853,12.6179,62.11,93,7,2.24,clear sky
288,Skjervoy,NO,70.0311,20.9714,33.8,82,80,8.55,broken clouds
289,Sawtell,AU,-30.3833,153.1,69.82,78,100,14.97,light rain
290,Balikpapan,ID,-1.2675,116.8289,85.19,84,40,4.61,scattered clouds
291,Baherden,TM,38.4362,57.4316,64.98,70,76,7.76,broken clouds
292,Nouakchott,MR,18.0858,-15.9785,80.53,80,12,10.42,few clouds
293,Vestmanna,FO,62.1564,-7.1664,43.72,87,100,3.44,overcast clouds
294,Comodoro Rivadavia,AR,-45.8667,-67.5,37.26,81,0,2.3,clear sky
295,Yulara,AU,-25.2406,130.9889,66.04,32,96,9.22,overcast clouds
296,Camana,PE,-16.6228,-72.7111,65.46,86,0,6.49,clear sky
297,Salinas,US,36.6777,-121.6555,57.79,60,0,18.41,clear sky
298,Monastyrshchina,RU,54.3496,31.838,36.93,78,83,7.4,broken clouds
299,Lorengau,PG,-2.0226,147.2712,85.89,69,100,10.29,overcast clouds
300,Clyde River,CA,70.4692,-68.5914,16.03,73,0,5.75,clear sky
301,Gaillac,FR,43.9016,1.8969,59.95,77,69,4.29,broken clouds
302,Amazar,RU,53.858,120.875,36.37,47,100,12.55,overcast clouds
303,Mahebourg,MU,-20.4081,57.7,75.25,94,20,4.61,few clouds
304,Inhambane,MZ,-23.865,35.3833,65.64,90,0,5.17,clear sky
305,Fairbanks,US,64.8378,-147.7164,44.22,75,100,14.97,light rain
306,Diamantino,BR,-14.4086,-56.4461,74.62,56,18,3.04,few clouds
307,Raudeberg,NO,61.9875,5.1352,47.07,89,100,19.06,overcast clouds
308,Missoula,US,47.0166,-113.8009,41.65,50,85,2.8,overcast clouds
309,Saint-Georges,GD,12.0564,-61.7485,80.28,78,20,25.32,few clouds
310,Portland,US,45.5234,-122.6762,60.78,53,20,11.5,few clouds
311,San Policarpo,PH,12.1791,125.5072,84.09,75,82,9.51,broken clouds
312,Maldonado,UY,-34.6667,-54.9167,58.39,88,100,5.12,overcast clouds
313,Shingu,JP,33.7333,135.9833,61.99,90,100,6.85,moderate rain
314,Pauini,BR,-7.7136,-66.9764,75.42,92,100,1.14,moderate rain
315,Kavieng,PG,-2.5744,150.7967,85.08,68,100,14.45,overcast clouds
316,Rawson,AR,-43.3002,-65.1023,44.89,93,20,2.3,mist
317,Kempsey,AU,-31.0833,152.8333,66.94,90,100,1.01,light rain
318,Eureka,US,40.8021,-124.1637,54.93,69,26,8.99,scattered clouds
319,Baillif,GP,16.0202,-61.7463,78.3,75,57,14.76,broken clouds
320,Teruel,ES,40.6667,-0.6667,52.43,65,33,6.82,scattered clouds
321,Bogorodskoye,RU,56.55,37.8833,40.64,66,100,10.49,overcast clouds
322,Bajos De Haina,DO,18.4154,-70.0332,81.32,83,20,0.0,few clouds
323,Burnie,AU,-41.0667,145.9167,59.79,77,100,9.98,overcast clouds
324,Port-Gentil,GA,-0.7193,8.7815,80.33,85,100,10.31,light rain
325,Calarasi,MD,47.2544,28.3081,56.32,52,100,1.34,overcast clouds
326,Medvedevo,RU,56.6339,47.804,49.41,96,100,7.96,overcast clouds
327,Yumen,CN,40.2833,97.2,70.61,12,15,9.69,few clouds
328,Teguldet,RU,57.3064,88.1667,46.42,35,0,5.86,clear sky
329,Guerrero Negro,MX,27.9769,-114.0611,61.05,72,0,20.92,clear sky
330,Kahului,US,20.8947,-156.47,82.42,63,40,29.93,scattered clouds
331,Narsaq,GL,60.9167,-46.05,43.02,90,99,4.74,overcast clouds
332,Casablanca,MA,33.5928,-7.6192,62.62,61,63,5.44,broken clouds
333,Ardalstangen,NO,61.2371,7.6983,44.02,97,100,3.65,overcast clouds
334,Marienburg,PL,54.0359,19.0266,59.58,69,100,10.16,overcast clouds
335,Dunedin,NZ,-45.8742,170.5036,57.02,50,14,1.99,few clouds
336,West Wendover,US,40.7391,-114.0733,50.67,31,97,7.85,overcast clouds
337,Rabaul,PG,-4.1967,152.1721,84.11,70,36,6.17,scattered clouds
338,Hirado,JP,33.3597,129.5531,64.78,94,100,7.14,overcast clouds
339,Victoria,HK,22.2855,114.1577,78.94,96,100,8.99,moderate rain
340,Iberia,US,29.9502,-91.7507,80.67,61,0,11.5,clear sky
341,Canon City,US,38.441,-105.2424,72.63,27,0,6.91,clear sky
342,Washington,US,47.5001,-120.5015,57.78,33,46,9.08,scattered clouds
343,Gualeguay,AR,-33.1416,-59.3097,53.56,90,3,5.95,clear sky
344,Kindu,CD,-2.95,25.95,68.47,95,63,2.57,light rain
345,Igarka,RU,67.4667,86.5833,27.28,80,93,4.34,overcast clouds
346,Viedma,AR,-40.8135,-62.9967,49.95,80,0,6.26,clear sky
347,Kayes,ML,14.0,-11.0,91.0,9,0,2.73,clear sky
